title,text,label
Verified News Report 1,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 1.",REAL
Verified News Report 2,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 2.",REAL
Verified News Report 3,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 3.",REAL
Verified News Report 4,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 4.",REAL
Verified News Report 5,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 5.",REAL
Verified News Report 6,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 6.",REAL
Verified News Report 7,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 7.",REAL
Verified News Report 8,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 8.",REAL
Verified News Report 9,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 9.",REAL
Verified News Report 10,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 10.",REAL
Verified News Report 11,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 11.",REAL
Verified News Report 12,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 12.",REAL
Verified News Report 13,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 13.",REAL
Verified News Report 14,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 14.",REAL
Verified News Report 15,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 15.",REAL
Verified News Report 16,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 16.",REAL
Verified News Report 17,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 17.",REAL
Verified News Report 18,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 18.",REAL
Verified News Report 19,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 19.",REAL
Verified News Report 20,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 20.",REAL
Verified News Report 21,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 21.",REAL
Verified News Report 22,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 22.",REAL
Verified News Report 23,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 23.",REAL
Verified News Report 24,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 24.",REAL
Verified News Report 25,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 25.",REAL
Verified News Report 26,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 26.",REAL
Verified News Report 27,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 27.",REAL
Verified News Report 28,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 28.",REAL
Verified News Report 29,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 29.",REAL
Verified News Report 30,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 30.",REAL
Verified News Report 31,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 31.",REAL
Verified News Report 32,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 32.",REAL
Verified News Report 33,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 33.",REAL
Verified News Report 34,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 34.",REAL
Verified News Report 35,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 35.",REAL
Verified News Report 36,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 36.",REAL
Verified News Report 37,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 37.",REAL
Verified News Report 38,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 38.",REAL
Verified News Report 39,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 39.",REAL
Verified News Report 40,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 40.",REAL
Verified News Report 41,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 41.",REAL
Verified News Report 42,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 42.",REAL
Verified News Report 43,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 43.",REAL
Verified News Report 44,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 44.",REAL
Verified News Report 45,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 45.",REAL
Verified News Report 46,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 46.",REAL
Verified News Report 47,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 47.",REAL
Verified News Report 48,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 48.",REAL
Verified News Report 49,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 49.",REAL
Verified News Report 50,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 50.",REAL
Verified News Report 51,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 51.",REAL
Verified News Report 52,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 52.",REAL
Verified News Report 53,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 53.",REAL
Verified News Report 54,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 54.",REAL
Verified News Report 55,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 55.",REAL
Verified News Report 56,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 56.",REAL
Verified News Report 57,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 57.",REAL
Verified News Report 58,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 58.",REAL
Verified News Report 59,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 59.",REAL
Verified News Report 60,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 60.",REAL
Verified News Report 61,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 61.",REAL
Verified News Report 62,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 62.",REAL
Verified News Report 63,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 63.",REAL
Verified News Report 64,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 64.",REAL
Verified News Report 65,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 65.",REAL
Verified News Report 66,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 66.",REAL
Verified News Report 67,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 67.",REAL
Verified News Report 68,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 68.",REAL
Verified News Report 69,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 69.",REAL
Verified News Report 70,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 70.",REAL
Verified News Report 71,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 71.",REAL
Verified News Report 72,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 72.",REAL
Verified News Report 73,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 73.",REAL
Verified News Report 74,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 74.",REAL
Verified News Report 75,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 75.",REAL
Verified News Report 76,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 76.",REAL
Verified News Report 77,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 77.",REAL
Verified News Report 78,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 78.",REAL
Verified News Report 79,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 79.",REAL
Verified News Report 80,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 80.",REAL
Verified News Report 81,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 81.",REAL
Verified News Report 82,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 82.",REAL
Verified News Report 83,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 83.",REAL
Verified News Report 84,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 84.",REAL
Verified News Report 85,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 85.",REAL
Verified News Report 86,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 86.",REAL
Verified News Report 87,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 87.",REAL
Verified News Report 88,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 88.",REAL
Verified News Report 89,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 89.",REAL
Verified News Report 90,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 90.",REAL
Verified News Report 91,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 91.",REAL
Verified News Report 92,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 92.",REAL
Verified News Report 93,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 93.",REAL
Verified News Report 94,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 94.",REAL
Verified News Report 95,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 95.",REAL
Verified News Report 96,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 96.",REAL
Verified News Report 97,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 97.",REAL
Verified News Report 98,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 98.",REAL
Verified News Report 99,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 99.",REAL
Verified News Report 100,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 100.",REAL
Verified News Report 101,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 101.",REAL
Verified News Report 102,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 102.",REAL
Verified News Report 103,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 103.",REAL
Verified News Report 104,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 104.",REAL
Verified News Report 105,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 105.",REAL
Verified News Report 106,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 106.",REAL
Verified News Report 107,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 107.",REAL
Verified News Report 108,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 108.",REAL
Verified News Report 109,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 109.",REAL
Verified News Report 110,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 110.",REAL
Verified News Report 111,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 111.",REAL
Verified News Report 112,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 112.",REAL
Verified News Report 113,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 113.",REAL
Verified News Report 114,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 114.",REAL
Verified News Report 115,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 115.",REAL
Verified News Report 116,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 116.",REAL
Verified News Report 117,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 117.",REAL
Verified News Report 118,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 118.",REAL
Verified News Report 119,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 119.",REAL
Verified News Report 120,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 120.",REAL
Verified News Report 121,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 121.",REAL
Verified News Report 122,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 122.",REAL
Verified News Report 123,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 123.",REAL
Verified News Report 124,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 124.",REAL
Verified News Report 125,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 125.",REAL
Verified News Report 126,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 126.",REAL
Verified News Report 127,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 127.",REAL
Verified News Report 128,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 128.",REAL
Verified News Report 129,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 129.",REAL
Verified News Report 130,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 130.",REAL
Verified News Report 131,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 131.",REAL
Verified News Report 132,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 132.",REAL
Verified News Report 133,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 133.",REAL
Verified News Report 134,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 134.",REAL
Verified News Report 135,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 135.",REAL
Verified News Report 136,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 136.",REAL
Verified News Report 137,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 137.",REAL
Verified News Report 138,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 138.",REAL
Verified News Report 139,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 139.",REAL
Verified News Report 140,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 140.",REAL
Verified News Report 141,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 141.",REAL
Verified News Report 142,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 142.",REAL
Verified News Report 143,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 143.",REAL
Verified News Report 144,"Government agency released an official report about infrastructure, education, healthcare, and public services update number 144.",REAL
